coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma7,price_volatility,liquidity_ratio
AllianceBlock,ALBT,5.576230510075226e-06,-0.003,0.038,0.053,6.561374003579328e-06,88953339.0,2022-03-17,5.481585716764069e-06,1.338479503086363e-07,0.9977408780800587
Alpha Finance,ALPHA,6.776140159598393e-06,0.018,0.054,0.021,0.0001278201251848,124373230.0,2022-03-16,6.776140159598393e-06,,16.437477020913345
Alpha Finance,ALPHA,6.793851182186741e-06,0.003,0.004,-0.003,9.887917593235104e-05,125007857.0,2022-03-17,6.784995670892567e-06,1.2523584173968724e-08,12.686818572869935
Alpine F1 Team Fan Token,ALPINE,0.0002125322710241,0.003,0.049,1.7180000000000002,0.0026499003183372,99922202.0,2022-03-16,0.0002125322710241,,12.409835317295544
Alpine F1 Team Fan Token,ALPINE,0.0002426167477495,0.002,0.142,0.953,0.0039123863982519,114038968.0,2022-03-17,0.00022757450938680002,2.1272937500979194e-05,16.059595386581666
Amp,AMP,6.07418593565292e-07,0.018,0.0069999999999999,0.003,0.0001395483786183,1198878147.0,2022-03-16,6.07418593565292e-07,,86.81520742445713
Amp,AMP,6.095777280737153e-07,-0.002,0.005,-0.033,0.000116585649524,1207186380.0,2022-03-17,6.084981608195036e-07,1.5267386524000478e-09,72.43244454154166
Ampleforth,AMPL,2.71730757159812e-05,0.019,0.146,0.235,0.000169958164419,91484573.0,2022-03-16,2.71730757159812e-05,,6.032645002355603
Ampleforth,AMPL,2.5959991977053275e-05,0.0,-0.049,0.104,2.3459251323559657e-05,88008725.0,2022-03-17,2.6566533846517237e-05,8.577797379430672e-07,0.8701505305909127
Anchor Protocol,ANC,7.521119177752704e-05,0.06,0.088,-0.18,0.0018559720616591,807556039.0,2022-03-16,7.521119177752704e-05,,24.353011918209948
Anchor Protocol,ANC,6.914577308288741e-05,-0.005,-0.083,-0.335,0.0013439102020839,754479150.0,2022-03-17,7.217848243020722e-05,4.288898689715336e-06,19.15881945581917
Ankr,ANKR,1.751251625180479e-06,0.023,0.016,-0.064,0.0007040515538342,587511707.0,2022-03-16,1.751251625180479e-06,,255.90227640047829
Ankr,ANKR,1.7646314976465598e-06,0.001,0.0069999999999999,-0.05,0.0003672645267441,594634282.0,2022-03-17,1.7579415614135194e-06,9.46099855217685e-09,132.84393491745294
Ankr Reward-Bearing Staked ETH,AETHC,0.0532880998668421,0.021,0.002,-0.02,2.2602756519289547e-05,116894099.0,2022-03-16,0.0532880998668421,,0.0004241534680782549
Ankr Reward-Bearing Staked ETH,AETHC,0.0547030407399276,0.005,0.027,-0.035,1.78607154967965e-06,120703323.0,2022-03-17,0.05399557030338485,0.001000514286336771,3.264971884199452e-05
Aragon,ANT,0.0001120889374409,0.027,0.05,0.051,0.0005420717659874,176410722.0,2022-03-16,0.0001120889374409,,4.793322656079295
Aragon,ANT,0.0001116037039453,0.005,-0.0069999999999999,-0.032,0.0003511253794398,174947342.0,2022-03-17,0.0001118463206931,3.431118951976206e-07,3.1182400501707095
Ardor,ARDR,4.6809989724211946e-06,0.0139999999999999,0.02,-0.011,0.0001082596245397,191059042.0,2022-03-16,4.6809989724211946e-06,,19.05644149299338
Ardor,ARDR,4.717124606166468e-06,-0.004,0.008,-0.043,8.66375537946505e-05,194331101.0,2022-03-17,4.699061789293831e-06,2.5544680595944438e-08,15.15404329323233
Ark,ARK,2.0243383380704982e-05,0.0069999999999999,0.017,-0.0279999999999999,4.746017895246593e-05,137522294.0,2022-03-16,2.0243383380704982e-05,,2.2341158233567087
Ark,ARK,2.0744896460052567e-05,0.008,0.024,-0.053,3.7834041079521055e-05,139681382.0,2022-03-17,2.0494139920378774e-05,3.546232992604238e-07,1.73990440235141
Arweave,AR,0.0007889896637627,-0.003,0.074,0.002,0.0008740203508644,1637697784.0,2022-03-16,0.0007889896637627,,1.1063693500766378
Arweave,AR,0.0008156775060191,0.016,0.034,-0.107,0.0006769262092446,1683869236.0,2022-03-17,0.0008023335848908999,1.8871154234737367e-05,0.8288782343770937
AscendEx Token,ASD,5.101793459780514e-06,0.006,-0.012,-0.03,3.857428485082611e-05,154656421.0,2022-03-16,5.101793459780514e-06,,6.321794584671776
AscendEx Token,ASD,5.070738516063959e-06,-0.002,-0.001,-0.047,3.445281894165047e-05,155507488.0,2022-03-17,5.086265987922236e-06,2.1959161291341916e-08,5.675226967935426
Astar,ASTR,2.504532651386269e-06,0.009,0.0069999999999999,0.032,0.0001379436483236,205235595.0,2022-03-16,2.504532651386269e-06,,39.36149610962659
Astar,ASTR,2.614316729759246e-06,-0.001,0.044,0.027,0.0001539108442113,218062741.0,2022-03-17,2.5594246905727577e-06,7.762906628384745e-08,42.583662617070146
Astroport,ASTRO,4.900858301668385e-05,0.034,-0.001,0.396,0.0001034119650955,249658255.0,2022-03-16,4.900858301668385e-05,,2.0678843281962167
Astroport,ASTRO,4.391363131318656e-05,-0.002,-0.104,0.095,0.0001511988724522,227045274.0,2022-03-17,4.6461107164935205e-05,3.602674899360885e-06,3.3664361582762576
Audius,AUDIO,1.7839342550247177e-05,0.027,0.026,0.02,0.0001365283890889,447883958.0,2022-03-16,1.7839342550247177e-05,,7.246982676001542
Audius,AUDIO,1.803520705073448e-05,0.001,0.01,-0.046,0.0001135004834689,457745959.0,2022-03-17,1.793727480049083e-05,1.3849711648828823e-07,5.96266082981853
Augur,REP,0.00032583429224,0.019,0.02,-0.015,0.0001364439841073,93213520.0,2022-03-16,0.00032583429224,,0.41747144454201535
Augur,REP,0.0003289883099612,0.001,0.01,-0.0409999999999999,0.0001017771493441,94396497.0,2022-03-17,0.00032741130110059997,2.2302273186430806e-06,0.3084265298854585
Aurora,AURORA,0.0001661924721971,-0.001,-0.02,-0.059,2.2313483904373225e-05,155499279.0,2022-03-16,0.0001661924721971,,0.13345985983189654
Aurora,AURORA,0.0001783233095864,-0.001,0.072,-0.069,2.2419102326156923e-05,167615843.0,2022-03-17,0.00017225789089175,8.577797379445344e-06,0.12502056970655645
Aurory,AURY,0.000194578631688,0.006,0.002,-0.008,2.6362161304860862e-05,76264310.0,2022-03-16,0.000194578631688,,0.13479060098403556
Aurory,AURY,0.0001962769489225,-0.001,0.008,0.004,2.483072008009592e-05,76843664.0,2022-03-17,0.00019542779030524998,1.200891633120937e-06,0.12586731605348703
Automata,ATA,8.924293106166743e-06,0.031,0.0409999999999999,0.035,0.0001815566689268,83514063.0,2022-03-16,8.924293106166743e-06,,18.29416634359424
Automata,ATA,8.930625403283945e-06,0.004,0.004,-0.003,6.531525018975545e-05,83651315.0,2022-03-17,8.927459254725345e-06,4.47761023206114e-09,6.577153757925098
Avalanche,AVAX,0.0017878428143959,0.034,0.032,0.011,0.0149622741465159,19563622731.0,2022-03-16,0.0017878428143959,,8.364219609518193
Avalanche,AVAX,0.0019355964137973,0.002,0.083,0.027,0.0239389355875326,21282040395.0,2022-03-17,0.0018617196140966,0.00010447757208145053,12.361344582164577
Avalaunch,XAVA,9.17091306269468e-05,0.0289999999999999,0.032,-0.022,1.225144349445736e-05,84389747.0,2022-03-16,9.17091306269468e-05,,0.13214926525151086
Avalaunch,XAVA,9.5105765095945e-05,-0.002,0.034,-0.024,2.2852691924981314e-05,86912829.0,2022-03-17,9.34074478614459e-05,2.4017832662406045e-06,0.23778689969500633
Axie Infinity,AXS,0.00122424410929,0.036,0.062,0.089,0.0049882907267267,3733676299.0,2022-03-16,0.00122424410929,,4.071262770336678
Axie Infinity,AXS,0.0012349192461926,0.006,0.01,0.044,0.0039657295008587,3771229668.0,2022-03-17,0.0012295816777413001,7.548461693923191e-06,3.208728655270653
BENQI,QI,1.2037716667067418e-06,0.036,0.011,-0.023,0.0001700384440855,77090931.0,2022-03-16,1.2037716667067418e-06,,77.15792278044893
BENQI,QI,1.2311178193510106e-06,0.0,0.024,-0.048,0.0001472478735366,79411049.0,2022-03-17,1.2174447430288762e-06,1.933664997412489e-08,65.99735444694336
BENQI Liquid Staked AVAX,SAVAX,0.0017783807612323,0.035,0.036,0.003,4.004662532772581e-06,108588792.0,2022-03-16,0.0017783807612323,,0.0022505933637268142
BENQI Liquid Staked AVAX,SAVAX,0.0019358390305451,-0.0,0.095,0.0289999999999999,1.9645440709346044e-05,119637582.0,2022-03-17,0.0018571098958887,0.00011133980998497854,0.010143042555176654
BNB,BNB,0.0093026539603066,0.018,0.0279999999999999,0.004,0.0240934621393307,64043816800.0,2022-03-16,0.0093026539603066,,2.5896773721511788
BNB,BNB,0.0094525911104381,0.002,0.016,-0.01,0.024602652934976,65561157431.0,2022-03-17,0.00937762253537235,0.00010602157560976929,2.6024663694002164
BTC Standard Hashrate Token,BTCST,0.0003731445580582,0.032,0.022,-0.08,0.0001859045783848,110711281.0,2022-03-16,0.0003731445580582,,0.4968790120846328
BTC Standard Hashrate Token,BTCST,0.0003658660556246,0.0069999999999999,-0.015,-0.092,5.436084717356481e-05,109935865.0,2022-03-17,0.0003695053068414,5.146678427681374e-06,0.14817627943532116
BTSE Token,BTSE,0.0002042833015994,0.006,0.012,0.127,2.839126396725737e-05,170044358.0,2022-03-16,0.0002042833015994,,0.13830284171218898
BTSE Token,BTSE,0.0002054963853383,0.017,0.0069999999999999,0.088,3.1481677285024714e-06,171754643.0,2022-03-17,0.00020488984346885,8.577797379233212e-07,0.015245631168530501
Baby Doge Coin,BABYDOGE,3.348111119441073e-14,0.026,0.021,-0.039,0.0001838445617506,452640717.0,2022-03-16,3.348111119441073e-14,,183.84455559528
Baby Doge Coin,BABYDOGE,3.265621425193973e-14,0.004,-0.012,-0.071,0.0001696797833262,449901755.0,2022-03-17,3.306866272317523e-14,5.832902218012944e-16,169.6797777851008
Badger DAO,BADGER,0.000177595459343,0.024,0.027,-0.006,7.121465784363277e-05,72581913.0,2022-03-16,0.000177595459343,,0.39874842342358807
Badger DAO,BADGER,0.0001756545253607,-0.005,-0.011,-0.074,6.720908049204101e-05,72193740.0,2022-03-17,0.00017662499235185,1.3724475807197402e-06,0.3804549040270037
BakerySwap,BAKE,1.3305806001125738e-05,0.027,0.033,-0.005,0.0001900953461347,104901896.0,2022-03-16,1.3305806001125738e-05,,13.287985739478167
BakerySwap,BAKE,1.3585276232899952e-05,0.002,0.021,-0.016,0.0002669825020436,107743877.0,2022-03-17,1.3445541117012845e-05,1.9761529602732232e-07,18.304932850114188
Balancer,BAL,0.0002777961761784,0.0279999999999999,0.022,0.01,0.0004215331843457,123217404.0,2022-03-16,0.0002777961761784,,1.5119762047093621
Balancer,BAL,0.0002794944934129,0.0,0.006,-0.038,0.0001535358893206,124477702.0,2022-03-17,0.00027864533479564997,1.2008916331209276e-06,0.5473757700283568
Banana,BANANA,0.0004539359350708,0.016,-0.141,0.708,9.508005420144156e-06,83416764.0,2022-03-16,0.0004539359350708,,0.020899657923624915
Banana,BANANA,0.0003719314743192,0.002,-0.181,0.3929999999999999,9.353901600944148e-06,68212793.0,2022-03-17,0.00041293370469500004,5.7985910285002474e-05,0.02508209214043957
Bancor Network Token,BNT,5.5559235206894645e-05,0.017,0.033,0.062,0.0004508055051395,583581643.0,2022-03-16,5.5559235206894645e-05,,7.970502137987648
Bancor Network Token,BNT,5.628708545025139e-05,0.005,0.013,0.011,0.0003122042919529,595471450.0,2022-03-17,5.592316032857302e-05,5.146678427658322e-07,5.4498197892092275
Band Protocol,BAND,8.782726266237746e-05,0.027,0.05,0.043,0.0004454445287733,149778191.0,2022-03-16,8.782726266237746e-05,,5.014727634536991
Band Protocol,BAND,8.661417892344954e-05,0.001,-0.012,-0.043,0.0002539202529037,148621625.0,2022-03-17,8.72207207929135e-05,8.577797379430624e-07,2.898163927616737
Basic Attention Token,BAT,1.9957774945211797e-05,0.021,0.055,0.251,0.0056065272524491,1223583998.0,2022-03-16,1.9957774945211797e-05,,267.5153859179129
Basic Attention Token,BAT,2.0650154620042292e-05,0.002,0.035,0.241,0.0035829861016083,1275120629.0,2022-03-17,2.0303964782627044e-05,4.895863632283796e-07,165.49471190803445
Beefy.Finance,BIFI,0.0353184478253549,0.012,0.047,-0.059,2.4679257152958817e-05,112999254.0,2022-03-16,0.0353184478253549,,0.0006987441387813042
Beefy.Finance,BIFI,0.0354919188000216,-0.004,0.005,-0.093,2.4250017258708616e-05,114334270.0,2022-03-17,0.03540518331268825,0.00012266250252586584,0.000683235362956226
Beldex,BDX,2.4593088895990355e-06,0.018,0.013,0.44,2.9813254887637542e-06,152144019.0,2022-03-16,2.4593088895990355e-06,,0.8618269093365976
Beldex,BDX,2.3801555019535142e-06,0.005,-0.0289999999999999,0.3779999999999999,4.676968061204511e-06,147183281.0,2022-03-17,2.419732195776275e-06,5.596989715803574e-08,1.3836547041997098
Beta Finance,BETA,9.401204847288866e-06,0.019,0.012,-0.072,0.0003211342009222,138948965.0,2022-03-16,9.401204847288866e-06,,30.874711693223254
Beta Finance,BETA,9.466201874020623e-06,0.001,0.0069999999999999,-0.087,0.0002796403322226,140529092.0,2022-03-17,9.433703360654746e-06,4.595983835898814e-08,26.7184156763427
Bezoge Earth,BEZOGE,3.801804437800117e-14,0.012,-0.005,-0.0409999999999999,3.269217245085093e-06,132913608.0,2022-03-16,3.801804437800117e-14,,3.2692171207958514
Bezoge Earth,BEZOGE,3.6392512167837755e-14,-0.004,-0.022,-0.177,3.042549306718775e-06,130736810.0,2022-03-17,3.720527827291946e-14,1.1494248488437062e-15,3.042549195992766
Biconomy,BICO,3.178279392390731e-05,0.012,0.077,0.035,0.0005072814997266,151360962.0,2022-03-16,3.178279392390731e-05,,15.474016671796175
Biconomy,BICO,3.129756042833614e-05,-0.006,-0.018,-0.0,0.0005253107835364,147807938.0,2022-03-17,3.154017717612173e-05,3.431118951772302e-07,16.26472020083352
Bifrost,BFC,3.619332345786253e-06,0.013,0.017,0.01,2.359386777583798e-05,157313585.0,2022-03-16,3.619332345786253e-06,,5.107635911358546
Bifrost,BFC,3.635636191237445e-06,-0.0,0.005,-0.026,3.275332722587621e-05,159291451.0,2022-03-17,3.627484268511849e-06,1.1528559677955334e-08,7.065551711712945
Binance USD,BUSD,2.4261674742554175e-05,-0.002,0.002,0.002,0.069724558144343,17975175881.0,2022-03-16,2.4261674742554175e-05,,2760.092466351391
Binance USD,BUSD,2.4250465848806484e-05,-0.001,-0.002,-0.001,0.0640993637722383,17812484632.0,2022-03-17,2.4256070295680328e-05,7.925884778590737e-09,2538.541829527002
Biswap,BSW,8.678303985586939e-06,0.019,0.042,0.149,8.93124149789904e-05,80023062.0,2022-03-16,8.678303985586939e-06,,9.228105989644018
Biswap,BSW,8.636040148122689e-06,0.002,-0.002,0.0579999999999999,8.511531254027461e-05,80314265.0,2022-03-17,8.657172066854814e-06,2.988504606993714e-08,8.833017632959628
BitDAO,BIT,2.71730757159812e-05,0.025,0.019,0.036,0.0009419295266641,993438990.0,2022-03-16,2.71730757159812e-05,,33.43367746425321
BitDAO,BIT,2.7658309211552368e-05,0.003,0.012,0.001,0.0007308072080564,1011521016.0,2022-03-17,2.7415692463766782e-05,3.431118951772266e-07,25.500709154251375
BitTorrent,BTT,4.393158498852703e-11,0.0069999999999999,0.022,0.003,0.0015161172328107,1675881629.0,2022-03-16,4.393158498852703e-11,,1516.050630303588
BitTorrent,BTT,4.428709130905725e-11,0.002,0.009,-0.017,0.0012444312674816,1685671515.0,2022-03-17,4.410933814879214e-11,2.5138093000159373e-13,1244.376157681082
Bitcoin,BTC,0.991318930147484,0.022,0.03,0.055,0.6108704964347693,770991461396.0,2022-03-16,0.991318930147484,,0.6162193232046559
Bitcoin,BTC,0.9911228958152732,0.001,0.0,-0.027,0.3534327944973212,776077432316.0,2022-03-17,0.9912209129813786,0.000138617205651573,0.3565979954570628
Bitcoin Cash,BCH,0.0071710232142625,0.018,0.015,0.039,0.0237944021885613,5613130722.0,2022-03-16,0.0071710232142625,,3.317669432698299
Bitcoin Cash,BCH,0.0072214874978019,0.002,0.006,-0.035,0.0205846228970103,5652413614.0,2022-03-17,0.007196255356032201,3.568363709842974e-05,2.8500738704324577
Bitcoin Diamond,BCD,1.2512982992712e-05,0.008,0.025,-0.016,1.4217371876133434e-05,96592411.0,2022-03-16,1.2512982992712e-05,,1.0521268237961472
Bitcoin Diamond,BCD,1.2841461807538908e-05,0.015,0.0289999999999999,-0.0409999999999999,0.000237489088528,99286361.0,2022-03-17,1.2677222400125454e-05,2.3226959744022766e-07,17.15780398271582
Bitcoin Gold,BTG,0.0007215422078783,0.018,0.0279999999999999,0.032,0.0001578721305235,517358240.0,2022-03-16,0.0007215422078783,,0.2184953748059669
Bitcoin Gold,BTG,0.0007259093093384,0.0,0.0069999999999999,-0.036,0.0001066168688515,523876360.0,2022-03-17,0.00072372575860835,3.0880070565663827e-06,0.14667148636263558
Bitcoin SV,BSV,0.0018708177421386,0.013,0.015,-0.019,0.0023339850897354,1461042552.0,2022-03-16,0.0018708177421386,,1.2469083058635622
Bitcoin SV,BSV,0.0018945941834216,0.002,0.013,-0.065,0.0014317208125157,1484128146.0,2022-03-17,0.0018827059627801001,1.6812482863693024e-05,0.7552886715084788
Bitkub Coin,KUB,0.0001914246139668,0.004,0.0,-0.034,3.786409201469436e-05,698922310.0,2022-03-16,0.0001914246139668,,0.19677364155308763
Bitkub Coin,KUB,0.0001923950809579,-0.002,0.004,-0.045,4.9671347820610834e-05,703620569.0,2022-03-17,0.00019190984746235,6.86223790324499e-07,0.256838734338976
Blox,CDT,2.6812304287985103e-06,0.053,0.151,-0.0069999999999999,2.6103060450244903e-06,74560549.0,2022-03-17,2.6812304287985103e-06,,0.7090852081966651
Boba Network,BOBA,2.9356626446051464e-05,0.0069999999999999,0.061,0.136,7.563675392966846e-05,192933914.0,2022-03-16,2.9356626446051464e-05,,2.491606044040729
Boba Network,BOBA,3.105494368055056e-05,0.005,0.0579999999999999,0.162,0.0001312836810164,204133364.0,2022-03-17,3.020578506330101e-05,1.2008916331202938e-06,4.095582956711193
Bonfida,FIDA,3.906129635747487e-05,0.02,0.0069999999999999,-0.114,7.580592636828621e-05,85251644.0,2022-03-16,3.906129635747487e-05,,1.8922484607551124
Bonfida,FIDA,4.00317633486172e-05,-0.002,0.025,-0.083,0.0001270015176882,87734475.0,2022-03-17,3.954652985304603e-05,6.862237903544532e-07,3.0952000919180587
Bounce,AUCTION,0.0003178279395631,0.016,0.018,0.027,3.0051418473807087e-05,94296802.0,2022-03-16,0.0003178279395631,,0.09425591281299718
Bounce,AUCTION,0.0003183131730586,0.002,0.002,-0.0,2.831647321360665e-05,94608029.0,2022-03-17,0.00031807055631085,3.4311189512690226e-07,0.08867931423677922
COTI,COTI,4.889091356996892e-06,0.017,0.048,0.008,0.0002689673309273,210898806.0,2022-03-16,4.889091356996892e-06,,45.672127434011884
COTI,COTI,4.967699183279421e-06,0.001,0.016,-0.032,0.0002099332957929,215079506.0,2022-03-17,4.928395270138156e-06,5.5584127018710595e-08,35.17826374042126
CRYPTO20,C20,7.132932381295767e-05,0.006,-0.047,-0.011,9.165001871223836e-07,98979226.0,2022-03-16,7.132932381295767e-05,,0.012671211879326242
CRYPTO20,C20,7.787997600316847e-05,0.005,0.094,-0.0139999999999999,4.214414953350369e-06,106817045.0,2022-03-17,7.460464990806307e-05,4.632010584892564e-06,0.05342819771117936
Cardano,ADA,1.999552611116723e-05,0.016,0.016,0.0279999999999999,0.0164100946655623,26331888060.0,2022-03-16,1.999552611116723e-05,,781.5995931073143
Cardano,ADA,2.034089105164001e-05,0.002,0.018,-0.013,0.0135399436384858,26891734979.0,2022-03-17,2.016820858140362e-05,2.442098913923901e-07,634.4600891182225
Carry,CRE,1.8534822396049705e-07,0.0139999999999999,-0.023,-0.001,0.0002613398650455,66948840.0,2022-03-16,1.8534822396049705e-07,,220.47518169159497
Cartesi,CTSI,7.560568628538747e-06,0.02,-0.01,0.02,0.0002923205323108,161866858.0,2022-03-16,7.560568628538747e-06,,34.147326538131836
Cartesi,CTSI,7.811410084074264e-06,0.003,0.033,0.0,0.0002969326172788,167831024.0,2022-03-17,7.685989356306505e-06,1.7737169421186852e-07,33.698649188451206
Casper Network,CSPR,1.5383846824402076e-06,0.023,0.1009999999999999,0.019,0.0001930935526198,262580070.0,2022-03-16,1.5383846824402076e-06,,76.06946021836798
Casper Network,CSPR,1.6329703670816244e-06,0.0139999999999999,0.062,0.037,0.0001788462851551,280491915.0,2022-03-17,1.585677524760916e-06,6.688217901311804e-08,67.92567337297177
Celer Network,CELR,8.993537987838916e-07,0.0289999999999999,0.0279999999999999,-0.003,0.0006190114463051,208463091.0,2022-03-16,8.993537987838916e-07,,325.9063407256918
Celer Network,CELR,9.296309844393232e-07,0.009,0.036,-0.038,0.0005137922134805,216429137.0,2022-03-17,9.144923916116075e-07,2.1409203292199667e-08,266.2644918244761
Celo,CELO,6.11394204059631e-05,0.022,0.037,-0.076,0.0008046979180749,1074226736.0,2022-03-16,6.11394204059631e-05,,12.949878077679633
